x,y
303,278
304,278
305,279
306,279
308,281
309,281
310,282
311,282
313,284
314,284
315,285
316,285
318,287
319,287
320,288
321,288
322,289
323,289
324,290
325,290
326,291
327,291
328,292
329,292
331,294
332,294
334,296
335,296
336,297
337,297
339,299
340,299
341,300
342,300
343,301
344,301
346,303
347,303
348,304
349,304
350,305
351,305
353,307
354,307
355,308
356,308
357,309
358,309
360,311
361,311
362,312
363,312
364,313
365,313
367,315
368,315
369,316
370,316
372,318
373,318
374,319
375,319
376,320
377,320
379,322
380,322
381,323
382,323
383,324
384,324
385,325
386,325
388,327
389,327
390,328
391,328
393,330
394,330
395,331
396,331
398,333
399,333
400,334
401,334
402,335
403,335
404,336
405,336
407,338
408,338
409,339
410,339
412,341
413,341
414,342
415,342
416,343
417,343
419,345
420,345
421,346
422,346
424,348
425,348
426,349
427,349
428,350
429,350
430,351
431,351
433,353
434,353
435,354
436,354
438,356
439,356
441,358
441,359
435,365
435,366
434,367
433,367
433,368
432,369
431,369
431,370
369,432
369,433
367,435
366,435
363,438
363,439
357,445
357,446
353,450
353,451
349,455
349,456
346,459
346,460
342,464
342,465
339,468
339,469
336,472
336,473
334,475
334,476
331,479
331,480
328,483
328,484
325,487
325,488
323,490
323,491
321,493
321,494
318,497
318,498
316,500
316,501
313,504
313,505
311,507
311,508
306,513
305,513
304,514
302,514
301,513
298,513
297,512
294,512
293,511
291,511
290,510
287,510
286,509
284,509
283,508
280,508
279,507
277,507
276,506
273,506
272,505
270,505
269,504
266,504
265,503
262,503
261,502
259,502
258,501
255,501
254,500
252,500
251,499
247,499
246,498
244,498
243,497
240,497
239,496
237,496
236,495
233,495
232,494
230,494
229,493
226,493
225,492
223,492
222,491
219,491
218,490
215,490
214,489
211,489
210,488
206,488
205,487
196,487
195,488
194,488
193,489
192,489
189,492
188,492
171,509
171,512
172,513
173,513
174,514
175,514
176,515
177,515
178,516
179,516
181,518
182,518
183,519
184,519
185,520
186,520
188,522
189,522
190,523
191,523
193,525
194,525
195,526
196,526
198,528
199,528
200,529
201,529
202,530
203,530
205,532
206,532
207,533
208,533
209,534
210,534
212,536
213,536
214,537
215,537
217,539
218,539
219,540
220,540
221,541
222,541
223,542
224,542
226,544
227,544
228,545
229,545
231,547
232,547
233,548
234,548
235,549
236,549
238,551
239,551
240,552
241,552
243,554
244,554
245,555
246,555
247,556
248,556
250,558
251,558
252,559
253,559
254,560
255,560
257,562
258,562
259,563
260,563
261,564
262,564
264,566
265,566
266,567
267,567
269,569
270,569
271,570
271,573
270,574
270,575
269,576
269,578
268,579
268,580
267,581
267,583
266,584
266,585
265,586
265,588
264,589
264,592
263,593
263,595
262,596
262,600
263,601
263,603
265,605
268,605
269,606
271,606
272,605
275,605
276,604
279,604
280,603
281,603
282,602
284,602
285,601
287,601
288,600
289,600
290,599
291,599
292,598
294,598
296,596
297,597
298,597
300,599
300,600
301,601
301,602
302,603
302,604
304,606
304,607
305,608
305,609
306,610
306,611
308,613
308,614
309,615
309,616
310,617
310,618
312,620
312,621
313,622
313,623
314,624
314,625
316,627
316,628
317,629
317,630
319,632
319,633
320,634
320,635
321,636
321,637
322,638
322,639
324,641
324,642
326,644
326,645
327,646
327,647
328,648
328,649
330,651
330,652
331,653
331,654
332,655
332,656
334,658
334,659
335,660
335,661
336,662
336,663
338,665
338,666
339,667
339,668
341,670
341,671
342,672
342,673
343,674
343,675
345,677
345,678
346,679
346,680
347,681
347,682
348,683
348,684
350,686
350,687
351,688
351,689
352,690
352,691
354,693
354,694
356,696
356,697
357,696
358,696
359,697
369,687
369,686
370,685
371,685
374,682
374,681
379,676
379,675
380,674
380,672
381,671
381,663
380,662
380,659
379,658
379,655
378,654
378,650
377,649
377,646
376,645
376,643
375,642
375,639
374,638
374,636
373,635
373,632
372,631
372,629
371,628
371,625
370,624
370,622
369,621
369,617
368,616
368,614
367,613
367,610
366,609
366,607
365,606
365,604
364,603
364,600
363,599
363,596
362,595
362,593
361,592
361,589
360,588
360,585
359,584
359,582
358,581
358,578
357,577
357,575
356,574
356,571
355,570
355,567
354,566
354,564
355,563
355,562
356,561
356,560
357,559
358,559
360,557
361,557
364,554
365,554
367,552
368,552
371,549
372,549
374,547
375,547
378,544
379,544
381,542
382,542
384,540
385,540
388,537
389,537
392,534
393,534
396,531
397,531
400,528
401,528
404,525
405,525
408,522
409,522
412,519
413,519
418,514
419,514
423,510
424,510
434,500
435,500
437,498
437,497
444,490
445,490
508,427
510,427
512,429
512,430
514,432
514,433
515,434
515,435
517,437
517,438
518,439
518,440
519,441
519,442
521,444
521,445
522,446
522,447
523,448
523,449
525,451
525,452
526,453
526,454
527,455
527,456
529,458
529,459
530,460
530,461
531,462
531,463
533,465
533,466
534,467
534,468
536,470
536,471
537,472
537,473
538,474
538,475
540,477
540,478
541,479
541,480
542,481
542,482
544,484
544,485
545,486
545,487
546,488
546,489
548,491
548,492
549,493
549,494
550,495
550,496
552,498
552,499
553,500
553,501
555,503
555,504
556,505
556,506
557,507
557,508
559,510
559,511
560,512
560,513
561,514
561,515
563,517
563,518
564,519
564,520
566,522
566,523
567,524
567,525
568,526
568,527
570,529
570,530
571,531
571,532
572,533
572,534
574,536
574,537
575,538
575,539
576,540
576,541
578,543
578,544
579,545
579,546
581,548
581,549
582,550
582,551
583,552
583,553
585,555
585,556
586,557
586,558
587,559
587,560
589,562
589,563
590,564
590,565
592,567
592,568
593,569
593,570
594,571
594,572
595,573
595,574
597,576
597,577
598,578
598,579
600,581
600,582
601,583
601,584
602,585
602,586
604,588
604,589
605,590
605,591
607,593
607,594
608,595
608,596
609,597
609,598
611,600
611,601
612,602
612,603
613,604
613,605
614,606
614,607
616,609
616,610
617,611
617,612
619,614
619,615
620,616
620,617
621,618
621,619
623,621
623,622
624,623
624,624
626,626
626,627
627,628
627,629
628,630
628,631
630,633
630,634
631,635
631,636
632,637
632,638
634,640
634,641
635,642
635,643
637,645
637,646
638,647
638,648
639,649
639,650
640,651
640,652
642,654
642,655
643,656
643,657
645,659
645,660
646,661
646,662
647,663
647,664
649,666
649,667
650,668
650,669
651,670
651,671
653,673
653,674
654,675
654,676
656,678
656,679
657,680
657,681
658,682
658,683
660,685
660,686
661,687
661,688
662,689
662,690
663,689
664,689
665,690
665,689
692,662
692,661
694,659
694,654
695,653
694,652
694,645
693,644
693,642
692,641
692,637
691,636
691,634
690,633
690,631
689,630
689,627
688,626
688,624
687,623
687,620
686,619
686,616
685,615
685,612
684,611
684,609
683,608
683,605
682,604
682,602
681,601
681,598
680,597
680,595
679,594
679,591
678,590
678,588
677,587
677,584
676,583
676,580
675,579
675,577
674,576
674,573
673,572
673,569
672,568
672,566
671,565
671,563
670,562
670,558
669,557
669,555
668,554
668,551
667,550
667,548
666,547
666,544
665,543
665,541
664,540
664,537
663,536
663,534
662,533
662,530
661,529
661,526
660,525
660,523
659,522
659,519
658,518
658,516
657,515
657,512
656,511
656,509
655,508
655,505
654,504
654,502
653,501
653,497
652,496
652,494
651,493
651,490
650,489
650,487
649,486
649,483
648,482
648,480
647,479
647,476
646,475
646,472
645,471
645,468
644,467
644,465
643,464
643,462
642,461
642,458
641,457
641,454
640,453
640,451
639,450
639,448
638,447
638,443
668,413
668,412
669,411
669,409
670,408
670,397
669,396
669,393
668,392
668,391
667,390
667,389
664,386
664,385
659,380
658,380
656,378
655,378
654,377
652,377
651,376
649,376
648,375
637,375
636,376
634,376
633,377
632,377
623,386
621,384
621,383
620,382
620,380
619,379
619,375
618,374
618,373
617,372
617,368
616,367
616,365
615,364
615,361
614,360
614,358
613,357
613,354
612,353
612,351
611,350
611,347
610,346
610,343
609,342
609,340
608,339
608,336
607,335
607,331
608,330
608,329
616,321
617,321
617,320
620,317
621,317
669,269
670,269
707,232
707,231
712,226
712,225
715,222
715,221
717,219
717,218
719,216
719,215
721,213
721,212
723,210
723,209
724,208
724,207
725,206
725,205
726,204
726,203
727,202
727,201
728,200
728,198
729,197
729,195
730,194
730,193
731,192
731,190
732,189
732,187
733,186
733,184
734,183
734,181
735,180
735,178
736,177
736,175
737,174
737,170
738,169
738,167
739,166
739,161
740,160
740,157
741,156
741,140
740,139
740,137
739,136
739,134
737,132
737,131
736,131
734,129
732,129
731,128
729,128
728,127
